#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      399.4   454.7   187.4   258.5   277.8   377.0   408.5   425.3   435.8   451.4   467.6   498.8   636.5  7262.3 19742.3   4992.6     5000  1715521256734  1715521262155
read      408.9   304.9   187.4   246.5   263.2   403.8   448.5   469.1   484.7   501.1   522.6   549.6   631.2  5264.7 12197.7  10005.0    10000  1715521263661  1715521269039
read      409.2   282.6   187.4   238.8   253.6   405.0   467.7   493.5   509.4   529.7   550.0   585.3   646.9  3487.1 12197.8  15005.6    15000  1715521270542  1715521275873
read      405.9   244.9   173.5   233.0   247.2   385.9   476.6   508.9   529.0   549.1   576.2   612.3   681.4  1536.1 10003.4  19943.9    20000  1715521277377  1715521282710
read      406.3   264.6   173.5   228.8   243.7   366.7   476.5   517.1   540.6   566.5   594.1   635.0   711.5  1365.9 10976.3  24945.6    25000  1715521284214  1715521289545
read      402.2   248.2   173.5   226.3   240.8   356.5   468.2   517.9   545.7   574.0   605.0   643.0   724.5  1370.0  7613.6  29948.4    30000  1715521291049  1715521296358
read      391.6   261.5   173.5   225.7   239.4   344.8   440.4   497.4   530.9   564.0   598.5   640.5   721.2  1260.0  8013.6  34915.6    35000  1715521297863  1715521303150
read      387.7   200.0   173.5   224.2   237.7   343.1   429.4   488.3   525.7   561.3   596.9   640.9   721.1  1252.2  9028.3  39938.5    40000  1715521304654  1715521309955
read      386.3   196.2   173.5   223.6   237.3   341.5   423.6   480.2   520.5   561.4   603.6   653.3   735.2  1241.2  8632.6  44969.0    45000  1715521311460  1715521316781
read      387.9   214.4   173.5   225.2   239.5   346.0   422.5   472.8   511.8   555.3   599.6   653.1   737.9  1240.9  9300.7  49838.0    50000  1715521318285  1715521323587
read      372.8   180.8   173.5   223.1   236.1   332.3   400.4   448.0   486.5   531.5   579.4   634.9   725.8  1036.0  5706.0  54991.6    55000  1715521325091  1715521330399
read      384.1   208.6   173.5   227.8   242.2   345.6   416.6   459.6   494.1   535.9   584.3   643.2   741.3  1343.1  7740.7  59827.2    60000  1715521331903  1715521337210
read      370.4   170.0   173.5   225.1   238.6   336.1   400.2   439.2   470.3   509.5   558.0   619.8   719.5  1154.6  5399.1  64734.6    65000  1715521338714  1715521344014
read      366.6   168.2   160.7   225.6   238.9   329.4   393.1   433.3   464.8   503.6   550.0   613.4   721.7  1399.5  5890.8  69796.5    70000  1715521345518  1715521350815
read      368.4   164.5   173.5   225.8   239.8   339.0   401.9   437.5   464.6   497.5   540.0   600.4   707.9   949.2  4026.0  75025.0    75000  1715521352319  1715521357614
read      366.4   171.0   173.5   227.4   241.1   337.2   397.3   432.2   458.5   490.1   531.0   588.5   698.6  1209.2  6087.9  80238.4    80000  1715521359119  1715521364420
read      356.3   161.7   173.5   226.2   239.5   329.3   384.4   415.8   438.8   468.4   508.1   568.6   677.8  1051.9  6169.3  84974.6    85000  1715521365924  1715521371227
read      369.1   159.6   173.5   229.8   244.4   344.9   402.1   433.9   458.0   486.6   524.1   580.4   696.3  1012.9  6381.8  89988.6    90000  1715521372731  1715521378037
read      350.4   150.3   173.5   226.2   239.6   327.6   377.6   405.6   427.8   454.6   490.5   544.6   648.4   930.8  6677.6  95112.3    95000  1715521379541  1715521384845
read      365.8   150.0   173.5   231.4   246.6   346.6   397.9   426.4   447.4   471.5   506.0   558.3   669.9   964.3  6095.7 100107.3   100000  1715521386349  1715521391652
read      362.0   141.4   173.5   231.4   246.4   345.0   393.0   419.9   438.9   464.1   497.1   546.5   658.6   930.3  4692.8 104883.6   105000  1715521393157  1715521398450
read      425.8   157.0   173.5   255.4   279.5   412.1   463.7   494.1   516.4   544.2   583.1   644.2   789.0  1011.8  5118.3 110170.2   110000  1715521399955  1715521405258
read      370.4   158.2   173.5   238.4   255.6   355.7   401.2   427.6   447.0   469.3   500.8   546.9   646.9   822.6  6227.1 114933.4   115000  1715521406762  1715521412061
read      485.1   210.8   173.5   274.4   303.2   443.5   531.6   592.9   632.2   674.0   722.3   789.4   916.6  1099.4  7637.1 115976.1   120000  1715521413565  1715521418873
read      560.8   257.4   173.5   307.9   342.5   549.0   630.0   673.8   704.9   741.0   788.2   855.7   982.3  1198.3 10523.0 114783.4   125000  1715521420379  1715521425677
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.49%,60.50%,100.00%
